	reply_settings	created_at	lang	conversation_id	author_id	text	edit_history_tweet_ids	id	referenced_tweets	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id
62	everyone	2023-03-09T03:23:50.000Z	en	1633669899297116160	1500197904123760642	"RT @SethAbramson: WP: “Coercive Conservatism” Runs Rampant

MAGA continues to shed its snakeskin, revealing the BIG GOVERNMENT agenda it’s…"	['1633669899297116160']	1633669899297116160	[{'type': 'retweeted', 'id': '1633667862576373763'}]	43	0	0	0	0		
63	everyone	2023-03-09T03:23:50.000Z	en	1633669898600628224	711548617559912448	RT @1JessicaEliza: I can’t stop laughing over the MAGA’s reaction to NAFO. Where have they been for the past year? 🤣🤣	['1633669898600628224']	1633669898600628224	[{'type': 'retweeted', 'id': '1633523554489622528'}]	12	0	0	0	0		
64	everyone	2023-03-09T03:23:50.000Z	en	1633669897040297986	1467486052399128582	RT @davidmweissman: President Zelinskyy gives the Republican Party transparency by giving McCarthy an invite to Ukraine. Russian asset reje…	['1633669897040297986']	1633669897040297986	[{'type': 'retweeted', 'id': '1633664248235655170'}]	24	0	0	0	0		
65	everyone	2023-03-09T03:23:49.000Z	en	1633669895249358849	742756048231104512	RT @TheDemocrats: MAGA Republicans will not rest until abortion is banned in every state.	['1633669895249358849']	1633669895249358849	[{'type': 'retweeted', 'id': '1633658363941908481'}]	34	0	0	0	0		
66	everyone	2023-03-09T03:23:49.000Z	en	1633662632539373572	51642832	@MAGA_Link Omg how gross 🤢 yeah right ok I guess cause Jill says so it's a fact 🤣	['1633669893559074818']	1633669893559074818	[{'type': 'replied_to', 'id': '1633662978376585217'}]	0	0	0	0	2	1576638924956516366	
67	everyone	2023-03-09T03:23:49.000Z	en	1633669892820926464	1478280942	RT @TheUSASingers: Tucker Carlson, Donald Trump, &amp; the MAGA cult would like us to believe this is a video of peaceful tourists, and somehow…	['1633669892820926464']	1633669892820926464	[{'type': 'retweeted', 'id': '1633466876268527617'}]	1393	0	0	0	0		
68	everyone	2023-03-09T03:23:48.000Z	en	1633669891424231425	1571300798	RT @AlaskaPatriot1: Attention all Patriots🌹❤️ @thejavawitch ❤️🌹is closing in on the 15,000 Followers milestone! Let’s unite to give her a l…	['1633669891424231425']	1633669891424231425	[{'type': 'retweeted', 'id': '1633663612685254657'}]	29	0	0	0	0		
69	everyone	2023-03-09T03:23:47.000Z	en	1633669884776423424	862383916400947202	RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…	['1633669884776423424']	1633669884776423424	[{'type': 'retweeted', 'id': '1633600197602476033'}]	796	0	0	0	0		
70	everyone	2023-03-09T03:23:46.000Z	en	1633669879860535297	1337179475218472962	"RT @SethAbramson: WP: “Coercive Conservatism” Runs Rampant

MAGA continues to shed its snakeskin, revealing the BIG GOVERNMENT agenda it’s…"	['1633669879860535297']	1633669879860535297	[{'type': 'retweeted', 'id': '1633667862576373763'}]	43	0	0	0	0		
71	everyone	2023-03-09T03:23:45.000Z	en	1633669877075697664	813608582025396225	RT @InfamousLucia: @CPAC @SarahHuckabee They have NO CLUE how to govern so they make up shit that doesn't exist and tell MAGA that they fix…	['1633669877075697664']	1633669877075697664	[{'type': 'retweeted', 'id': '1633659758971346945'}]	8	0	0	0	0		
72	everyone	2023-03-09T03:23:44.000Z	en	1633669874437492736	1567373419406331906	"RT @CalltoActivism: I don’t care what any MAGA trolls have to say, I am damn proud Joe Biden  is our President. 

Does he have your support…"	['1633669874437492736']	1633669874437492736	[{'type': 'retweeted', 'id': '1632826172009586688'}]	3055	0	0	0	0		
73	everyone	2023-03-09T03:23:44.000Z	en	1633669874143621121	282340197	RT @ProjectLincoln: Wonder what the MAGA base feels about Tucker’s comments…	['1633669874143621121']	1633669874143621121	[{'type': 'retweeted', 'id': '1633478069024354307'}]	553	0	0	0	0		
74	everyone	2023-03-09T03:23:44.000Z	en	1633669872994648064	1586023393207296000	RT @leslibless: Here is Antifa changing their clothes into the ‘MAGA look’ on J6! https://t.co/LKI3QzLUQi	['1633669872994648064']	1633669872994648064	[{'type': 'retweeted', 'id': '1633621571205050369'}]	705	0	0	0	0		
75	everyone	2023-03-09T03:23:44.000Z	en	1633669871220162563	1610085671963590659	Certainly, these were MAGA terrorists. https://t.co/UCmeCHKcYv	['1633669871220162563']	1633669871220162563	[{'type': 'quoted', 'id': '1633664721176997888'}]	0	0	0	0	0		
