	reply_settings	created_at	edit_history_tweet_ids	conversation_id	author_id	referenced_tweets	lang	text	id	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	geo.place_id	in_reply_to_user_id
49	everyone	2023-03-09T22:05:39.000Z	['1633952212711014400']	1633952212711014400	1350576975711137792	[{'type': 'retweeted', 'id': '1633899354602782723'}]	en	RT @harryjsisson: Gen Z is going to hold the crazy MAGA Republicans accountable in 2024 by voting them all out of office.	1633952212711014400	177	0	0	0	0		
50	everyone	2023-03-09T22:05:39.000Z	['1633952211838570502']	1633918774783950849	338065892	[{'type': 'replied_to', 'id': '1633918774783950849'}]	en	"@RossCol89474735 I get my fair share of hateful commentary from both “sides” for calling it out. Such commentary as:
BBB = Blue MAGA. &amp; There is no difference between Uncle Bad Touch and Mango Mussolini."	1633952211838570502	0	0	0	0	1		1149332421214658562
51	everyone	2023-03-09T22:05:38.000Z	['1633952208789344256']	1633952208789344256	26883219	[{'type': 'retweeted', 'id': '1633932758644068352'}]	en	RT @OccupyDemocrats: BREAKING: The CEO of Pfizer is exposed for having donated the maximum amount to Dr. Oz's disastrous failed Senate camp…	1633952208789344256	342	0	0	0	0		
52	everyone	2023-03-09T22:05:38.000Z	['1633952208277450755']	1633879444300365831	890788041329188864	[{'type': 'replied_to', 'id': '1633882476312662018'}]	en	"@WorldsMostHumb1 @BradMossEsq That's b/c Mitch's GOP isn't the same as MAGA GOP.

I disagree w/ probably everything that Mitch believes.
He's a stereotypical rich old white guy who's policies are designed to protect other old rich white guys.

MAGA is full of ""poorly educated"" white trash.

Not Mitch's people"	1633952208277450755	0	0	0	0	0		1438358693473488899
53	everyone	2023-03-09T22:05:38.000Z	['1633952207929511937']	1633952207929511937	1094131295108489216	[{'type': 'retweeted', 'id': '1633899354602782723'}]	en	RT @harryjsisson: Gen Z is going to hold the crazy MAGA Republicans accountable in 2024 by voting them all out of office.	1633952207929511937	177	0	0	0	0		
54	everyone	2023-03-09T22:05:38.000Z	['1633952207832854528']	1633934849244545024	1575570092	[{'type': 'replied_to', 'id': '1633934849244545024'}]	en	@realTuckFrumper The maga’s family values	1633952207832854528	0	0	0	0	0		55060090
55	everyone	2023-03-09T22:05:37.000Z	['1633952203861024770']	1633952203861024770	1598511791251734528	[{'type': 'retweeted', 'id': '1633943913512722434'}]	en	"RT @ChuckCallesto: JUST IN:  Joe Biden loses his marbles, claims “MAGA Republicans are calling for defunding the police departments.""

 htt…"	1633952203861024770	254	0	0	0	0		
56	everyone	2023-03-09T22:05:37.000Z	['1633952203240009730']	1633952203240009730	829834414741925888	[{'type': 'retweeted', 'id': '1633690457610895360'}]	en	RT @AlaskaPatriot1: Attention all Patriots🌹❤️ @SaltyBitch_52 ❤️🌹is almost to the 25,000 Followers milestone! Let’s unite to give her a lift…	1633952203240009730	143	0	0	0	0		
57	everyone	2023-03-09T22:05:36.000Z	['1633952201864368132']	1633952201864368132	1339352100342550528	[{'type': 'retweeted', 'id': '1633933589304803329'}]	en	RT @RonFilipkowski: So, if I’m a MAGA with a few bucks to spare, do I buy Trump’s new book, Desantis’s book, contribute to Lake’s lawsuit,…	1633952201864368132	237	0	0	0	0		
58	everyone	2023-03-09T22:05:35.000Z	['1633952197460238340']	1633952197460238340	796828641556594688	[{'type': 'retweeted', 'id': '1633951218719416324'}]	en	RT @vademocrats: “If the MAGA Republicans get their way, seniors will pay higher out-of-pocket costs on prescription drugs and insulin, the…	1633952197460238340	4	0	0	0	0		
59	everyone	2023-03-09T22:05:35.000Z	['1633952196994777092']	1633952196994777092	3008237368	[{'type': 'retweeted', 'id': '1633924499518242817'}]	en	"RT @speknmymind: Biden now using term ""MAGA Republican""...about time. Great presentation. Man the cheers he got! Especially over protecting…"	1633952196994777092	1	0	0	0	0		
60	everyone	2023-03-09T22:05:35.000Z	['1633952194700484610']	1633952194700484610	1497099531418099714	[{'type': 'retweeted', 'id': '1633929516207751169'}]	en	RT @1drcole: When white people write 'pure blood' in their bios, they tell you they are MAGA.	1633952194700484610	37	0	0	0	0		
61	everyone	2023-03-09T22:05:34.000Z	['1633952192154443776']	1633950967321247744	108370360	[{'type': 'replied_to', 'id': '1633950967321247744'}]	en	"@Wasred4skins Biden, tomorrow: ""MAGA Republicans want an asteroid to hit the earth"""	1633952192154443776	0	0	0	0	0		1500587380943642624
62	everyone	2023-03-09T22:05:34.000Z	['1633952191525404673']	1633952191525404673	340404557	[{'type': 'retweeted', 'id': '1633932758644068352'}]	en	RT @OccupyDemocrats: BREAKING: The CEO of Pfizer is exposed for having donated the maximum amount to Dr. Oz's disastrous failed Senate camp…	1633952191525404673	342	0	0	0	0		
63	everyone	2023-03-09T22:05:32.000Z	['1633952184558817280']	1633952184558817280	1519302691771408385	[{'type': 'retweeted', 'id': '1633919039981461505'}]	en	"RT @greg_price11: Biden: ""MAGA Republicans are calling for defunding the police department."" https://t.co/FUiFNXAf5I"	1633952184558817280	526	0	0	0	0		
64	everyone	2023-03-09T22:05:32.000Z	['1633952181769621504']	1633952181769621504	1094131295108489216	[{'type': 'retweeted', 'id': '1633932758644068352'}]	en	RT @OccupyDemocrats: BREAKING: The CEO of Pfizer is exposed for having donated the maximum amount to Dr. Oz's disastrous failed Senate camp…	1633952181769621504	342	0	0	0	0		
65	everyone	2023-03-09T22:05:31.000Z	['1633952177331879937']	1633952177331879937	1503023576131194883	[{'type': 'retweeted', 'id': '1633875936926892041'}]	en	RT @_johnnymaga: Chamber of Commerce sued Trump for slashing H-1B visas, the program exploited to flood the US with foreign unskilled worke…	1633952177331879937	50	0	0	0	0		
66	everyone	2023-03-09T22:05:30.000Z	['1633952173003522049']	1633952173003522049	132209059	[{'type': 'retweeted', 'id': '1633902540147531776'}]	en	"RT @charliekirk11: Why is Schumer trying to get Tucker Carlson fired? 

Why is the regime media melting down? 

Why is the DC Uniparty marc…"	1633952173003522049	1802	0	0	0	0		
67	everyone	2023-03-09T22:05:29.000Z	['1633952170969030656']	1633919039981461505	1444533255898812416	[{'type': 'replied_to', 'id': '1633919039981461505'}]	en	@greg_price11 Wow! I think he gets worse by the day! What freaking universe does he live in? I have NEVER hear a Republican or MAGA Republican call for defunding the police! The man delusional	1633952170969030656	0	0	0	0	0		896466491587080194
68	everyone	2023-03-09T22:05:28.000Z	['1633952166707593218']	1633939084409294848	23783183	[{'type': 'replied_to', 'id': '1633943618565152773'}]	en	@byLorettaHunt @NoLieWithBTC @therecount Welcome to MAGA logic	1633952166707593218	0	0	0	0	0		41090390
69	everyone	2023-03-09T22:05:28.000Z	['1633952166401675266']	1633952166401675266	1225846073631150080		en	Maga Republicans want to defund the police, Joe Biden https://t.co/WjhzOwKPAR	1633952166401675266	0	0	0	0	1		
70	everyone	2023-03-09T22:05:28.000Z	['1633952166162432003']	1633529531620544512	1608606108389675008	[{'type': 'replied_to', 'id': '1633531243055947776'}]	en	@Folon15 @tedlieu “MAGA lies” 😅😂🤣 - Fxing our trade deals, giving us a tax break, protecting our borders, and putting America first is only bad to illegals, terrorists, and liberals	1633952166162432003	0	0	0	0	1		784855575821709312
71	everyone	2023-03-09T22:05:27.000Z	['1633952164069376003']	1633952164069376003	1518961703601463297	[{'type': 'retweeted', 'id': '1633902540147531776'}]	en	"RT @charliekirk11: Why is Schumer trying to get Tucker Carlson fired? 

Why is the regime media melting down? 

Why is the DC Uniparty marc…"	1633952164069376003	1802	0	0	0	0		
72	everyone	2023-03-09T22:05:27.000Z	['1633952163335421957']	1633952163335421957	1587181960098729989	[{'type': 'retweeted', 'id': '1633946552980107266'}]	en	"RT @ProudElephantUS: Biden: ""MAGA Republicans are calling for defunding the police department.""

That is a lie. There is not a single Repub…"	1633952163335421957	96	0	0	0	0		
73	everyone	2023-03-09T22:05:26.000Z	['1633952159900516352']	1633952159900516352	1519374901290799104	[{'type': 'quoted', 'id': '1633221774702702595'}]	en	Absolutely! Yes we do! Never Again! Then they will come for Democracy Too. Tik! Tok! Tik! Tok! Ban Anti-Democracy Fox News, SEDITIONISTS MAGA-CONgress BIG-LIE-Propaganda! Agenda for 2024! https://t.co/WoSHSOiQ0Q	1633952159900516352	0	0	0	0	0		
74	everyone	2023-03-09T22:05:25.000Z	['1633952154707976193']	1633952154707976193	860974889007685633	[{'type': 'retweeted', 'id': '1633933589304803329'}]	en	RT @RonFilipkowski: So, if I’m a MAGA with a few bucks to spare, do I buy Trump’s new book, Desantis’s book, contribute to Lake’s lawsuit,…	1633952154707976193	237	0	0	0	0		
75	everyone	2023-03-09T22:05:23.000Z	['1633952147200151553']	1633846920601903105	3226797655	[{'type': 'replied_to', 'id': '1633869975323836416'}]	en	"@john28150673 @MariaBartiromo @MorningsMaria @FoxBusiness Whatever lies, deception and fraud are out there circulating in #MAGA land, @MariaBartiromo keeps doubling down on them. 

She once tweeted that @GavinNewsom could only win by fraud. Um…in this blue state? 

She has to be the dumbest person in broadcasting."	1633952147200151553	0	0	0	0	2		2771992408
76	everyone	2023-03-09T22:05:23.000Z	['1633952145354420225']	1633952145354420225	1548536102352523266	[{'type': 'retweeted', 'id': '1633919039981461505'}]	en	"RT @greg_price11: Biden: ""MAGA Republicans are calling for defunding the police department."" https://t.co/FUiFNXAf5I"	1633952145354420225	526	0	0	0	0		
77	everyone	2023-03-09T22:05:23.000Z	['1633952143584669697']	1633872343306231808	1508669639122903042	[{'type': 'replied_to', 'id': '1633950892931309568'}]	en	"@Saerbhreathach_ @john_sipher #MattTaibbiIsARussianAsset

All of these losers are going to be used to turn public support against military aide to Ukraine. Kremlin propaganda deployed through celebrity media influencers are more important to have on the left where straight up MAGA voices aren’t heard."	1633952143584669697	0	0	0	0	2		1508669639122903042
78	everyone	2023-03-09T22:05:21.000Z	['1633952137343270913']	1633952137343270913	348110441	[{'type': 'retweeted', 'id': '1633943913512722434'}]	en	"RT @ChuckCallesto: JUST IN:  Joe Biden loses his marbles, claims “MAGA Republicans are calling for defunding the police departments.""

 htt…"	1633952137343270913	254	0	0	0	0		
