|reply_settings|id|lang|text|conversation_id|author_id|referenced_tweets|edit_history_tweet_ids|created_at|public_metrics.retweet_count|public_metrics.reply_count|public_metrics.like_count|public_metrics.quote_count|public_metrics.impression_count|in_reply_to_user_id|geo.place_id
69|everyone|1633648264871288832|en|"RT @FrankHart77: @FrankHart77 it's a rising time! Follow your conductor! 
@ThomasaMArnold1 
@Maga_Mike_FL 
@Bostonbama84 
@RedeCara_ 
@NONO…"|1633648264871288832|1519151532284989440|[{'type': 'retweeted', 'id': '1633620156516532226'}]|['1633648264871288832']|2023-03-09T01:57:52.000Z|19|0|0|0|0||
70|everyone|1633648257728499713|en|"RT @cardon_brian: At the origins of Covid-19 hearing, Raskin (D-MD) in true fashion won't let the MAGA (R)'s control the narrative. ""No mat…"|1633648257728499713|254565033|[{'type': 'retweeted', 'id': '1633497833050640384'}]|['1633648257728499713']|2023-03-09T01:57:51.000Z|469|0|0|0|0||
71|everyone|1633648257694945280|en|@LostSoulCracker @AgainMothra @Julie_NoNumbers @GThonks @youknow714 @NaylorFran @PPPTCE @BSHerrle @USAintheRGV @rosegar17673310 @MAGA_Translator @OriginalGoalie @katgirlsc @mtsand3 @AFreeQueen @astragal @TyefiaM @CalvinE43701301 @RealWmGClark @JamesCa70626795 @8BrianVogel4 @p11b30 @kevinoler @Caperloo5 @VinceGottalotta @Sasquatch4eva @MamieWhiteesq @Ajohnso50141696 @SmytheBobbi @TheRealMcKeever @PatriciaDupler @TShadowKnow @lavenlarose @jbizzy6969 @CarignanAbreu @PhilipEMSkinne1 @TheAnthony850 @itisjustmebabe @JimlikesBB @BconnectedJ @EarthOne_13 @TheLandomatic @GAballots @JimJimlund12 @JoSchmo79 @ruxcytbl @neal_cowboy @SpiralWrap53 @TruthPyRate Furthermore, Trump's legal team was wholly unable to present any evidence proving without a shadow of a doubt that there was any form of large scale, organized fraud in the election. They quickly resorted to wild speculation and altered data. That isn't what a confident lawyer|1378505075652395011|1625244130145103889|[{'type': 'replied_to', 'id': '1633647840328052744'}]|['1633648257694945280']|2023-03-09T01:57:51.000Z|0|0|0|0|2|1625244130145103889|
72|everyone|1633648256763740161|en|@JerryCo23407555 @warrior19RN @AZ_Brittney As a former Rep. who is now an  ind, the vulgar responses I have received are from MAGA so not sure what you're talking about. I have reported several MAGA who were suspended temporarily because their tweets were vicious, hateful, &amp; life-threatening. I don't consider that a joke.|1633483317873090560|1565890443300290562|[{'type': 'replied_to', 'id': '1633640751618818052'}]|['1633648256763740161']|2023-03-09T01:57:50.000Z|0|0|0|0|0|1362167014349959169|
73|everyone|1633648253781835776|en|MAGA IN HELL AT FOX!Maria Bartiromo Is Scared And Sad! And More LOL Highlights From Last Night's Fox News Document Dump! https://t.co/7A3fcDSCTK|1633648253781835776|1294339508687654914||['1633648253781835776']|2023-03-09T01:57:50.000Z|0|0|0|0|1||
74|everyone|1633648248194990082|en|RT @leslibless: Here is Antifa changing their clothes into the ‘MAGA look’ on J6! https://t.co/LKI3QzLUQi|1633648248194990082|2977474367|[{'type': 'retweeted', 'id': '1633621571205050369'}]|['1633648248194990082']|2023-03-09T01:57:48.000Z|498|0|0|0|0||
75|everyone|1633648245913075713|en|RT @YMomof2: And now they are attempting to use of our congress as an echo chamber to share their election denial claims.  Fox is not news.…|1633648245913075713|31897231|[{'type': 'retweeted', 'id': '1633621169415897090'}]|['1633648245913075713']|2023-03-09T01:57:48.000Z|10|0|0|0|0||
76|everyone|1633648244927373312|en|RT @Lindsae509: J6 was an insurrection.  TFG, MAGA, the GQP, and Fox are all to blame.|1633648244927373312|898583175638790145|[{'type': 'retweeted', 'id': '1633646533970382849'}]|['1633648244927373312']|2023-03-09T01:57:47.000Z|6|0|0|0|0||
77|everyone|1633648243631603713|en|"@AdamKinzinger It's obvious when they throw out vile garbage to just stir the rancid pot they created. 
It's a maga thing. If they aren't being hateful they aren't happy."|1633641407393984512|100811162|[{'type': 'replied_to', 'id': '1633641407393984512'}]|['1633648243631603713']|2023-03-09T01:57:47.000Z|0|0|0|0|2|18004222|
78|everyone|1633648242985500672|en|"RT @BillKristol: ""McCarthy made an affirmative decision to collaborate with Fox News, even as a lawsuit has exposed how Fox brazenly airs c…"|1633648242985500672|1015253439557849094|[{'type': 'retweeted', 'id': '1633635667111473154'}]|['1633648242985500672']|2023-03-09T01:57:47.000Z|100|0|0|0|0||
