	created_at	conversation_id	text	edit_history_tweet_ids	reply_settings	referenced_tweets	lang	id	in_reply_to_user_id	author_id	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count
27	2023-03-06T11:59:09.000Z	1632712416868937728	RT @babawoowa: I have to laugh at all the MAGA, Q-Anon cult members who accuse Bill Gates of wanting to implant chips in us!! It is actuall…	['1632712416868937728']	everyone	[{'type': 'retweeted', 'id': '1631838671673368577'}]	en	1632712416868937728		816406404684652544	45	0	0	0	0
28	2023-03-06T11:59:07.000Z	1632712407792644099	RT @Michell59681610: Dear liberals… go ahead and say MAGA is a cult one more time. I’ll hit you with this EVERY. SINGLE. TIME	['1632712407792644099']	everyone	[{'type': 'retweeted', 'id': '1632584677629349888'}]	en	1632712407792644099		1518958568971591681	575	0	0	0	0
29	2023-03-06T11:59:03.000Z	1632712393112576001	"RT @Juan45T: If you think President Trump lost, you are  born dumb sheep. So sad. 

Good Morning to All MAGA Trump patriots. 
Love you all…"	['1632712393112576001']	everyone	[{'type': 'retweeted', 'id': '1632706104793890817'}]	en	1632712393112576001		1535363931400597504	79	0	0	0	0
30	2023-03-06T11:59:02.000Z	1632712390700675075	RT @BehizyTweets: A lot of people don't realize how Ultra-MAGA Trump would be in a 2nd term. During his 1st term, he tried to fulfill all h…	['1632712390700675075']	everyone	[{'type': 'retweeted', 'id': '1632496809372422144'}]	en	1632712390700675075		1518968140113354753	484	0	0	0	0
31	2023-03-06T11:59:02.000Z	1632712389580783618	RT @dtheavenger: @gkrobinson10 Sad how MAGA QAnon folks literally blame every death on Covid vaccines. 5.5 billion people around the world…	['1632712389580783618']	everyone	[{'type': 'retweeted', 'id': '1632699006252900353'}]	en	1632712389580783618		1370140477761187845	1	0	0	0	0
32	2023-03-06T11:59:00.000Z	1632712379510435840	"Democrat Leader Arrested In Washington Swamp, The Police Handcuffed Sheila Jackson Lee  #MAGA #TRUMP2024 #Trump

https://t.co/a2qZzij3MK"	['1632712379510435840']	everyone		en	1632712379510435840		1574096740696920065	0	0	0	0	10
33	2023-03-06T11:58:56.000Z	1632712365669064713	RT @CPAC: We are thankful for Contributing sponsor The MAGA Mall for helping make CPAC in DC 2023 a success! https://t.co/xQqhaaUzFR	['1632712365669064713']	everyone	[{'type': 'retweeted', 'id': '1632169055594455040'}]	en	1632712365669064713		1266641846954057728	60	0	0	0	0
34	2023-03-06T11:58:56.000Z	1632712361667616768	RT @Lilygf: We should all go out to the streets and protest Trump and Maga.	['1632712361667616768']	everyone	[{'type': 'retweeted', 'id': '1632548318264848386'}]	en	1632712361667616768		707630060136763392	8	0	0	0	0
35	2023-03-06T11:58:54.000Z	1632712355011256322	"RT @TweeterTrash: @shadygrooove PATRIOT FRONT = AZOV NAZI LINKED GROUP IN AMERICA

THEY DEFINITELY HATE MAGA

CALLING US COMMIES IS.... YEA…"	['1632712355011256322']	everyone	[{'type': 'retweeted', 'id': '1632604415764070401'}]	en	1632712355011256322		1288340054	9	0	0	0	0
36	2023-03-06T11:58:52.000Z	1632712348782788610	"RT @Garcticall: 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
MAGA MONDAY!!!!!
DROP YOUR HANDLE. 
FOLLOW ALL PATRIOTS AND RETWEET. 
GAIN NEW FOLLOWERS ALL DAY!!!!
CON…"	['1632712348782788610']	everyone	[{'type': 'retweeted', 'id': '1632705986036154368'}]	en	1632712348782788610		282312233	140	0	0	0	0
