	reply_settings	id	lang	text	conversation_id	author_id	referenced_tweets	edit_history_tweet_ids	created_at	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes
33	everyone	1633676696791523329	en	"RT @ZubyMusic: -Russian collusion
-Ghost of Kyiv 
-Hunter Biden laptop
-'Don't Say Gay' bill
-Twitter collapse post-Elon
-Nord Stream pipel…"	1633676696791523329	1604746622772051969	[{'type': 'retweeted', 'id': '1633609902286413826'}]	['1633676696791523329']	2023-03-09T03:50:51.000Z	345	0	0	0	0				
34	everyone	1633676694623059968	en	"RT @GicAriana: Dnipro. Kharkiv. Khmelnytsky. Ivano-Frankivsk. Lviv.  Odesa. Poltava. Ternopil. Zaporizhzhia. Zhytomyr. 

Massive Russian at…"	1633676694623059968	1497185553909010438	[{'type': 'retweeted', 'id': '1633675007288115201'}]	['1633676694623059968']	2023-03-09T03:50:50.000Z	16	0	0	0	0				
35	everyone	1633676692236500992	en	@AndrewScheer And you did or said what when Harper signed a 30 year trade deal with China in secrecy in Russia? What’s that? Nothing. That’s what I thought.	1633597367193866240	1398536342	[{'type': 'replied_to', 'id': '1633597367193866240'}]	['1633676692236500992']	2023-03-09T03:50:50.000Z	0	0	0	0	0	256360738			
36	everyone	1633676687090106368	en	RT @Kanthan2030: History is full of lies and half-truths! For example, anti-Russia people always talk about the 1939 USSR-Germany pact afte…	1633676687090106368	2446218066	[{'type': 'retweeted', 'id': '1633654603441922050'}]	['1633676687090106368']	2023-03-09T03:50:49.000Z	71	0	0	0	0				
37	everyone	1633676686049832960	en	@georgewbarros @TheStudyofWar This is Russian lands. Will always be our lands. Gorbachev worked for the CIA to split our people up. Russia will win and liberate the free people of the western cancer in Ukraine.	1633633667779051524	1631827785973891072	[{'type': 'replied_to', 'id': '1633633667779051524'}]	['1633676686049832960']	2023-03-09T03:50:48.000Z	0	0	0	0	1	2213444748			
38	everyone	1633676681490714626	en	RT @sentdefender: At least 15 Russian Tu-95MS Strategic Bombers have been launched from Airbases across Western Russia within the last hour…	1633676681490714626	859767591811915776	[{'type': 'retweeted', 'id': '1633615849897467905'}]	['1633676681490714626']	2023-03-09T03:50:47.000Z	266	0	0	0	0				
39	everyone	1633676680995667970	en	"RT @BernieSpofforth: WAR - ‘Warmonger in Chief’ Tobias Ellwood, Head of UK defence select committee.

“ We need to move to a war footing…we…"	1633676680995667970	1493442720001675269	[{'type': 'retweeted', 'id': '1633108659080241156'}]	['1633676680995667970']	2023-03-09T03:50:47.000Z	826	0	0	0	0				
40	everyone	1633676677451587584	en	RT @fmnews__: 🇷🇺🇺🇦 | Ukrainian President Zelenski would have given the order to the commanders on the ground not to let Bakhmut fall into R…	1633676677451587584	1501850702464884737	[{'type': 'retweeted', 'id': '1632875455777845250'}]	['1633676677451587584']	2023-03-09T03:50:46.000Z	1	0	0	0	0				
41	everyone	1633676677388615680	en	"RT @RepAdamSchiff: The consequences for China abetting Russia’s assault against Ukraine must be swift. And severe. 

I have legislation gra…"	1633676677388615680	488891910	[{'type': 'retweeted', 'id': '1633557447716622340'}]	['1633676677388615680']	2023-03-09T03:50:46.000Z	597	0	0	0	0				
42	everyone	1633676673626394624	en	RT @FinFox2: Fox News edited out Trump saying he might let Russia take over areas of Ukraine as part of peace deal - in an interview on Fox…	1633676673626394624	66680736	[{'type': 'retweeted', 'id': '1633656851593035777'}]	['1633676673626394624']	2023-03-09T03:50:45.000Z	16	0	0	0	0				
