	author_id	username	author_followers	author_tweets	author_description	author_location	text	created_at	retweets	replies	likes	quote_count
1247	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@AlertaNews24 Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/l9ndLMwCmS"	2021-01-20 20:25:13+00:00	0	0	0	0
1248	1351516402386149378	FranklyAmbrose	493	11435	It gets better @smcdao		"Good day. Please I got an opportunity to play football and study in Ukraine but lack of funds is stopping. It' will be a dream come through for me. Please anything you can help me with I'll really appreciate

Thank you 

https://t.co/7IXhotAs61

#Trump 
#20mNigerians 
#Icons"	2021-01-20 20:25:11+00:00	0	0	1	0
1249	939719403805036544	shortstartrader	2970	12724	Short and Long :D. Student of Support & Resistance. // Global community. Traveler. Benefactor.	Lancaster, PA	@POTUS @POTUS @JoeBiden @FLOTUSBiden @SecondGentleman Don't mess up Ukraine!! Get the dirty money out!!	2021-01-20 20:24:45+00:00	0	0	0	0
1250	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@business Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/91YIPsnmjo"	2021-01-20 20:24:36+00:00	0	0	0	0
1251	1045853877302628352	rollypoly31	757	351823	Boomers Rule!		@ladygaga After 4 years of non stop hate? How about a special council on Joe’s influence peddling in China and Ukraine to enrich his family. Follow with impeachment x 2 #Resist #BeijingBiden	2021-01-20 20:24:35+00:00	0	0	0	0
1252	1043751491893366784	TheHelpingChan	150	11958	Interested in foreign fighters, and I still have much to learn.		@JimIsAntiRacist On the other hand, Ukraine's making strides against Putin and internal adversaries. Though it's kind of ironic when a defense ministry is doing better at fighting internal corruption and extremists then it's own politicians.	2021-01-20 20:24:34+00:00	0	0	0	0
1253	1304547364284305409	prostovliz	46	5503	За традицією тут повинно бути щось мудре і вічне. Іноді, курва, думаю над тим.		@JasnoCzarnowidz @History_Ukraine post corpses and laugh - an ordinary Nazi. Not surprised.	2021-01-20 20:24:14+00:00	0	0	0	0
1254	696912202591297536	mikeportc3833	142	5859	THE Russian bot for ~all of your Putin puppetry  needs	Broome Co. , NY, USA	"@jaredeborn @parlertakes @pastorlocke Uh...is there a ""White House"" in some other country?
This is the one that repeatedly  bragged about his part in the coup that put neo-nazis (Svboda) in power in Ukraine.
Sample of the end result  : https://t.co/sJnZxaFt1j"	2021-01-20 20:24:05+00:00	0	0	1	0
1255	389820523	ngcinthed	66	6751			@Timcast How about because a President of the US was just installed that is wanted in the Ukraine, and his family is compromised by the CCP.  That would be a start.	2021-01-20 20:24:01+00:00	0	0	0	0
1256	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@Milenio Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/WtPg4uMVCc"	2021-01-20 20:24:00+00:00	0	0	0	0
