	id	conversation_id	text	edit_history_tweet_ids	reply_settings	author_id	lang	referenced_tweets	created_at	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	withheld.copyright	withheld.country_codes	geo.place_id
3916	1633874304143364096	1633860618821197825	"@JosepBorrellF @sweden2023eu Dear @JosepBorrellF 
you don't support Ukrainians. 
You support #IRGCterrorists 
To kill Ukraine 🇺🇦 people!
Don't play verbally!
Hush money?
Sweet money?
You don't need to support  Ukrainians!
Do action!
Be brave!
Do it: #IRGCterrorists 
One choice
#IranianRevolution"	['1633874304143364096']	everyone	724650385940557828	en	[{'type': 'replied_to', 'id': '1633860618821197825'}]	2023-03-09T16:56:04.000Z	0	0	0	0	2	1003895325025865730			
3917	1633874304075956224	1633874304075956224	"RT @janeway888: ""DHS ‘Concerned’ Over Nazis Returning to the US After Fighting in Ukraine""

""Neo-Nazi Militia Trained by US Military in Ukr…"	['1633874304075956224']	everyone	1521371126798110720	en	[{'type': 'retweeted', 'id': '1633237236903813124'}]	2023-03-09T16:56:04.000Z	8	0	0	0	0				
3918	1633874302683447311	1633874302683447311	RT @GlasnostGone: Goodnight #Ukraine. On #InternationalWomensDay we remember those no longer with us. We remember the women brutally killed…	['1633874302683447311']	everyone	145362618	en	[{'type': 'retweeted', 'id': '1633570096944754692'}]	2023-03-09T16:56:04.000Z	144	0	0	0	0				
3919	1633874302088134656	1633874302088134656	After months of soaring stock prices, Europe's defense companies hardly needed another boost. But a tentative €2 billion ($2.1 billion) European Union plan to procure ammunition for war-torn Ukraine may provide just that. https://t.co/WzcnRkfKjV	['1633874302088134656']	everyone	212172770	en		2023-03-09T16:56:04.000Z	0	0	0	0	6				
3920	1633874301332881436	1633874301332881436	RT @KremlinTrolls: Kidnapped Ukrainian children from Mariupol forced to learn how to fly Russian kamikaze drones and how to drop bombs on t…	['1633874301332881436']	everyone	1502816672561905671	en	[{'type': 'retweeted', 'id': '1633867572587397123'}]	2023-03-09T16:56:04.000Z	34	0	0	0	0				
3921	1633874299927789581	1633874299927789581	RT @OccupyDemocrats: BREAKING: Speaker Kevin McCarthy spits in the face of Ukraine's heroic President Zelensky by refusing his invitation t…	['1633874299927789581']	everyone	366491790	en	[{'type': 'retweeted', 'id': '1633569264488820736'}]	2023-03-09T16:56:03.000Z	1175	0	0	0	0				
3922	1633874299470884870	1633874299470884870	RT @Marianna9110: 🇺🇸🇺🇦An American veteran put forward a counteroffer to Zelensky in response to his words that the children of US citizens…	['1633874299470884870']	everyone	1423260373516390400	en	[{'type': 'retweeted', 'id': '1633804751908249600'}]	2023-03-09T16:56:03.000Z	7	0	0	0	0				
3923	1633874298556514309	1633874298556514309	"RT @jacksonhinklle: Scott Ritter (@RealScottRitter) explains why Russia is denazifying Ukraine &amp; how ""slava ukraini"" is the ""sieg heil"" of…"	['1633874298556514309']	everyone	1392892045077925894	en	[{'type': 'retweeted', 'id': '1633549541717966851'}]	2023-03-09T16:56:03.000Z	907	0	0	0	0				
3924	1633874298308788240	1633874298308788240	RT @KelemenCari: Merrick Garland goes to Ukraine and, son-of-a-b*tch, Ukraine has a new prosecutor. Again.	['1633874298308788240']	everyone	1594008308569997313	en	[{'type': 'retweeted', 'id': '1633873573910835200'}]	2023-03-09T16:56:03.000Z	41	0	0	0	0				
3925	1633874296782360576	1633874296782360576	"Ukrainian mortars push back Russian positions near Bakhmut
#canda #Germany #Ukraine #usa #Bachmut
https://t.co/CZBn8MGWsm"	['1633874296782360576']	everyone	1593033986883944452	en		2023-03-09T16:56:02.000Z	0	0	0	0	57				
3926	1633874296534884352	1633874296534884352	How many $Billions will this cost us????    Stop funding corrupt fraud Zelensky and end the war.  Save lives on both sides. https://t.co/xpui5u1QBE	['1633874296534884352']	everyone	28660450	en		2023-03-09T16:56:02.000Z	0	0	0	0	6				
